C00,"Malignant neoplasm of lip"
C67,"Malignant neoplasm of bladder"
C68,"Malignant neoplasm of other and unspecified urinary organs"
C69,"Malignant neoplasm of eye and adnexa"
C690,"Malignant neoplasm of conjunctiva"
C691,"Malignant neoplasm of cornea"
C692,"Malignant neoplasm of retina"
C693,"Malignant neoplasm of choroid"
C694,"Malignant neoplasm of ciliary body"
C695,"Malignant neoplasm of lacrimal gland and duct"
C696,"Malignant neoplasm of orbit"
C698,"Malignant neoplasm of overlapping sites of eye and adnexa"
C699,"Malignant neoplasm of unspecified site of eye"
C70,"Malignant neoplasm of meninges"
C71,"Malignant neoplasm of brain"
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
C722,"Malignant neoplasm of olfactory nerve"
C723,"Malignant neoplasm of optic nerve"
C724,"Malignant neoplasm of acoustic nerve"
C725,"Malignant neoplasm of other and unspecified cranial nerves"
C729,"Malignant neoplasm of central nervous system, unspecified"
C73,"Malignant neoplasm of thyroid gland"
C74,"Malignant neoplasm of adrenal gland"
C740,"Malignant neoplasm of cortex of adrenal gland"
C741,"Malignant neoplasm of medulla of adrenal gland"
C749,"Malignant neoplasm of unspecified part of adrenal gland"
C75,"Malignant neoplasm of other endocrine glands and related structures"
C7A,"Malignant neuroendocrine tumors"
C7A0,"Malignant carcinoid tumors"
C7A01,"Malignant carcinoid tumors of the small intestine"
C7A02,"Malignant carcinoid tumors of the appendix, large intestine, and rectum"
C7A09,"Malignant carcinoid tumors of other sites"
C7A1,"Malignant poorly differentiated neuroendocrine tumors"
C7A8,"Other malignant neuroendocrine tumors"
C7B,"Secondary neuroendocrine tumors"
C7B0,"Secondary carcinoid tumors"
C7B1,"Secondary Merkel cell carcinoma"
C7B8,"Other secondary neuroendocrine tumors"
C76,"Malignant neoplasm of other and ill-defined sites"
C764,"Malignant neoplasm of upper limb"
C765,"Malignant neoplasm of lower limb"
C768,"Malignant neoplasm of other specified ill-defined sites"
C77,"Secondary and unspecified malignant neoplasm of lymph nodes"
C78,"Secondary malignant neoplasm of respiratory and digestive organs"
C780,"Secondary malignant neoplasm of lung"
C781,"Secondary malignant neoplasm of mediastinum"
C782,"Secondary malignant neoplasm of pleura"
C783,"Secondary malignant neoplasm of other and unspecified respiratory organs"
C784,"Secondary malignant neoplasm of small intestine"
C785,"Secondary malignant neoplasm of large intestine and rectum"
C786,"Secondary malignant neoplasm of retroperitoneum and peritoneum"
C787,"Secondary malignant neoplasm of liver and intrahepatic bile duct"
C788,"Secondary malignant neoplasm of other and unspecified digestive organs"
C79,"Secondary malignant neoplasm of other and unspecified sites"
C790,"Secondary malignant neoplasm of kidney and renal pelvis"
C791,"Secondary malignant neoplasm of bladder and other and unspecified urinary organs"
C792,"Secondary malignant neoplasm of skin"
C793,"Secondary malignant neoplasm of brain and cerebral meninges"
C794,"Secondary malignant neoplasm of other and unspecified parts of nervous system"
C795,"Secondary malignant neoplasm of bone and bone marrow"
C796,"Secondary malignant neoplasm of ovary"
C797,"Secondary malignant neoplasm of adrenal gland"
C798,"Secondary malignant neoplasm of other specified sites"
C799,"Secondary malignant neoplasm of unspecified site"
C80,"Malignant neoplasm without specification of site"
C81,"Hodgkin lymphoma"
C810,"Nodular lymphocyte predominant Hodgkin lymphoma"
C811,"Nodular sclerosis Hodgkin lymphoma"
C812,"Mixed cellularity Hodgkin lymphoma"
C813,"Lymphocyte depleted Hodgkin lymphoma"
C814,"Lymphocyte-rich Hodgkin lymphoma"
C817,"Other Hodgkin lymphoma"
C819,"Hodgkin lymphoma, unspecified"
C82,"Follicular lymphoma"
C820,"Follicular lymphoma grade I"
C821,"Follicular lymphoma grade II"
C822,"Follicular lymphoma grade III, unspecified"
C823,"Follicular lymphoma grade IIIa"
C824,"Follicular lymphoma grade IIIb"
C825,"Diffuse follicle center lymphoma"
C826,"Cutaneous follicle center lymphoma"
C828,"Other types of follicular lymphoma"
C829,"Follicular lymphoma, unspecified"
C83,"Non-follicular lymphoma"
C830,"Small cell B-cell lymphoma"
C831,"Mantle cell lymphoma"
C833,"Diffuse large B-cell lymphoma"
C835,"Lymphoblastic (diffuse) lymphoma"
C837,"Burkitt lymphoma"
C838,"Other non-follicular lymphoma"
C839,"Non-follicular (diffuse) lymphoma, unspecified"
C84,"Mature T/NK-cell lymphomas"
C840,"Mycosis fungoides"
C841,"Sezary disease"
C844,"Peripheral T-cell lymphoma, not classified"
C846,"Anaplastic large cell lymphoma, ALK-positive"
C847,"Anaplastic large cell lymphoma, ALK-negative"
C84A,"Cutaneous T-cell lymphoma, unspecified"
C84Z,"Other mature T/NK-cell lymphomas"
C849,"Mature T/NK-cell lymphomas, unspecified"
C85,"Other specified and unspecified types of non-Hodgkin lymphoma"
C851,"Unspecified B-cell lymphoma"
C852,"Mediastinal (thymic) large B-cell lymphoma"
C858,"Other specified types of non-Hodgkin lymphoma"
C859,"Non-Hodgkin lymphoma, unspecified"
C86,"Other specified types of T/NK-cell lymphoma"
C88,"Malignant immunoproliferative diseases and certain other B-cell lymphomas"
C90,"Multiple myeloma and malignant plasma cell neoplasms"
C900,"Multiple myeloma"
C901,"Plasma cell leukemia"
C902,"Extramedullary plasmacytoma"
C903,"Solitary plasmacytoma"
C91,"Lymphoid leukemia"
C910,"Acute lymphoblastic leukemia [ALL]"
C911,"Chronic lymphocytic leukemia of B-cell type"
C913,"Prolymphocytic leukemia of B-cell type"
C914,"Hairy cell leukemia"
C915,"Adult T-cell lymphoma/leukemia (HTLV-1-associated)"
C916,"Prolymphocytic leukemia of T-cell type"
C91A,"Mature B-cell leukemia Burkitt-type"
C91Z,"Other lymphoid leukemia"
C919,"Lymphoid leukemia, unspecified"
C92,"Myeloid leukemia"
C920,"Acute myeloblastic leukemia"
C921,"Chronic myeloid leukemia, BCR/ABL-positive"
C922,"Atypical chronic myeloid leukemia, BCR/ABL-negative"
C923,"Myeloid sarcoma"
C924,"Acute promyelocytic leukemia"
C925,"Acute myelomonocytic leukemia"
C926,"Acute myeloid leukemia with 11q23-abnormality"
C92A,"Acute myeloid leukemia with multilineage dysplasia"
C92Z,"Other myeloid leukemia"
C929,"Myeloid leukemia, unspecified"
C93,"Monocytic leukemia"
C930,"Acute monoblastic/monocytic leukemia"
C931,"Chronic myelomonocytic leukemia"
C933,"Juvenile myelomonocytic leukemia"
C93Z,"Other monocytic leukemia"
C939,"Monocytic leukemia, unspecified"
C94,"Other leukemias of specified cell type"
C940,"Acute erythroid leukemia"
C942,"Acute megakaryoblastic leukemia"
C943,"Mast cell leukemia"
C944,"Acute panmyelosis with myelofibrosis"
C946,"Myelodysplastic disease, not classified"
C948,"Other specified leukemias"
C95,"Leukemia of unspecified cell type"
C950,"Acute leukemia of unspecified cell type"
C951,"Chronic leukemia of unspecified cell type"
C959,"Leukemia, unspecified"
C96,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue"
C962,"Malignant mast cell neoplasm"
C964,"Sarcoma of dendritic cells (accessory cells)"
C965,"Multifocal and unisystemic Langerhans-cell histiocytosis"
C966,"Unifocal Langerhans-cell histiocytosis"
C96A,"Histiocytic sarcoma"
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue"
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
D00,"Carcinoma in situ of oral cavity, esophagus and stomach"
D000,"Carcinoma in situ of lip, oral cavity and pharynx"
D001,"Carcinoma in situ of esophagus"
D002,"Carcinoma in situ of stomach"
D01,"Carcinoma in situ of other and unspecified digestive organs"
D014,"Carcinoma in situ of other and unspecified parts of intestine"
D015,"Carcinoma in situ of liver, gallbladder and bile ducts"
D017,"Carcinoma in situ of other specified digestive organs"
D019,"Carcinoma in situ of digestive organ, unspecified"
D02,"Carcinoma in situ of middle ear and respiratory system"
D022,"Carcinoma in situ of bronchus and lung"
D023,"Carcinoma in situ of other parts of respiratory system"
D024,"Carcinoma in situ of respiratory system, unspecified"
D03,"Melanoma in situ"
D031,"Melanoma in situ of eyelid, including canthus"
D032,"Melanoma in situ of ear and external auricular canal"
D033,"Melanoma in situ of other and unspecified parts of face"
D034,"Melanoma in situ of scalp and neck"
D035,"Melanoma in situ of trunk"
D036,"Melanoma in situ of upper limb, including shoulder"
D037,"Melanoma in situ of lower limb, including hip"
D038,"Melanoma in situ of other sites"
D039,"Melanoma in situ, unspecified"
D04,"Carcinoma in situ of skin"
D041,"Carcinoma in situ of skin of eyelid, including canthus"
D042,"Carcinoma in situ of skin of ear and external auricular canal"
D043,"Carcinoma in situ of skin of other and unspecified parts of face"
D044,"Carcinoma in situ of skin of scalp and neck"
D045,"Carcinoma in situ of skin of trunk"
D046,"Carcinoma in situ of skin of upper limb, including shoulder"
D047,"Carcinoma in situ of skin of lower limb, including hip"
D048,"Carcinoma in situ of skin of other sites"
D049,"Carcinoma in situ of skin, unspecified"
D05,"Carcinoma in situ of breast"
D050,"Lobular carcinoma in situ of breast"
D051,"Intraductal carcinoma in situ of breast"
D058,"Other specified type of carcinoma in situ of breast"
D059,"Unspecified type of carcinoma in situ of breast"
D06,"Carcinoma in situ of cervix uteri"
D07,"Carcinoma in situ of other and unspecified genital organs"
D073,"Carcinoma in situ of other and unspecified female genital organs"
D074,"Carcinoma in situ of penis"
D075,"Carcinoma in situ of prostate"
D076,"Carcinoma in situ of other and unspecified male genital organs"
D09,"Carcinoma in situ of other and unspecified sites"
D091,"Carcinoma in situ of other and unspecified urinary organs"
D092,"Carcinoma in situ of eye"
D093,"Carcinoma in situ of thyroid and other endocrine glands"
D098,"Carcinoma in situ of other specified sites"
D099,"Carcinoma in situ, unspecified"
D10,"Benign neoplasm of mouth and pharynx"
D103,"Benign neoplasm of other and unspecified parts of mouth"
D104,"Benign neoplasm of tonsil"
D105,"Benign neoplasm of other parts of oropharynx"
D106,"Benign neoplasm of nasopharynx"
D107,"Benign neoplasm of hypopharynx"
D109,"Benign neoplasm of pharynx, unspecified"
D11,"Benign neoplasm of major salivary glands"
D12,"Benign neoplasm of colon, rectum, anus and anal canal"
D13,"Benign neoplasm of other and ill-defined parts of digestive system"
D133,"Benign neoplasm of other and unspecified parts of small intestine"
D134,"Benign neoplasm of liver"
D135,"Benign neoplasm of extrahepatic bile ducts"
D136,"Benign neoplasm of pancreas"
D137,"Benign neoplasm of endocrine pancreas"
D139,"Benign neoplasm of ill-defined sites within the digestive system"
D14,"Benign neoplasm of middle ear and respiratory system"
D143,"Benign neoplasm of bronchus and lung"
D144,"Benign neoplasm of respiratory system, unspecified"
D15,"Benign neoplasm of other and unspecified intrathoracic organs"
D16,"Benign neoplasm of bone and articular cartilage"
D160,"Benign neoplasm of scapula and long bones of upper limb"
D161,"Benign neoplasm of short bones of upper limb"
D162,"Benign neoplasm of long bones of lower limb"
D163,"Benign neoplasm of short bones of lower limb"
D164,"Benign neoplasm of bones of skull and face"
D165,"Benign neoplasm of lower jaw bone"
D166,"Benign neoplasm of vertebral column"
D167,"Benign neoplasm of ribs, sternum and clavicle"
D168,"Benign neoplasm of pelvic bones, sacrum and coccyx"
D169,"Benign neoplasm of bone and articular cartilage, unspecified"
D17,"Benign lipomatous neoplasm"
D172,"Benign lipomatous neoplasm of skin and subcutaneous tissue of limb"
D173,"Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites"
D174,"Benign lipomatous neoplasm of intrathoracic organs"
D175,"Benign lipomatous neoplasm of intra-abdominal organs"
D176,"Benign lipomatous neoplasm of spermatic cord"
D177,"Benign lipomatous neoplasm of other sites"
D179,"Benign lipomatous neoplasm, unspecified"
D18,"Hemangioma and lymphangioma, any site"
D180,"Hemangioma"
D181,"Lymphangioma, any site"
D19,"Benign neoplasm of mesothelial tissue"
D20,"Benign neoplasm of soft tissue of retroperitoneum and peritoneum"
D21,"Other benign neoplasms of connective and other soft tissue"
D211,"Benign neoplasm of connective and other soft tissue of upper limb, including shoulder"
D212,"Benign neoplasm of connective and other soft tissue of lower limb, including hip"
D213,"Benign neoplasm of connective and other soft tissue of thorax"
D214,"Benign neoplasm of connective and other soft tissue of abdomen"
D215,"Benign neoplasm of connective and other soft tissue of pelvis"
D216,"Benign neoplasm of connective and other soft tissue of trunk, unspecified"
D219,"Benign neoplasm of connective and other soft tissue, unspecified"
D22,"Melanocytic nevi"
D221,"Melanocytic nevi of eyelid, including canthus"
D222,"Melanocytic nevi of ear and external auricular canal"
D223,"Melanocytic nevi of other and unspecified parts of face"
D224,"Melanocytic nevi of scalp and neck"
D225,"Melanocytic nevi of trunk"
D226,"Melanocytic nevi of upper limb, including shoulder"
D227,"Melanocytic nevi of lower limb, including hip"
D229,"Melanocytic nevi, unspecified"
D23,"Other benign neoplasms of skin"
D231,"Other benign neoplasm of skin of eyelid, including canthus"
D232,"Other benign neoplasm of skin of ear and external auricular canal"
D233,"Other benign neoplasm of skin of other and unspecified parts of face"
D234,"Other benign neoplasm of skin of scalp and neck"
D235,"Other benign neoplasm of skin of trunk"
D236,"Other benign neoplasm of skin of upper limb, including shoulder"
D237,"Other benign neoplasm of skin of lower limb, including hip"
D239,"Other benign neoplasm of skin, unspecified"
D24,"Benign neoplasm of breast"
D25,"Leiomyoma of uterus"
D26,"Other benign neoplasms of uterus"
D27,"Benign neoplasm of ovary"
D28,"Benign neoplasm of other and unspecified female genital organs"
D29,"Benign neoplasm of male genital organs"
D292,"Benign neoplasm of testis"
D293,"Benign neoplasm of epididymis"
D294,"Benign neoplasm of scrotum"
D298,"Benign neoplasm of other specified male genital organs"
D299,"Benign neoplasm of male genital organ, unspecified"
D30,"Benign neoplasm of urinary organs"
D300,"Benign neoplasm of kidney"
D301,"Benign neoplasm of renal pelvis"
D302,"Benign neoplasm of ureter"
D303,"Benign neoplasm of bladder"
D304,"Benign neoplasm of urethra"
D308,"Benign neoplasm of other specified urinary organs"
D309,"Benign neoplasm of urinary organ, unspecified"
D31,"Benign neoplasm of eye and adnexa"
D310,"Benign neoplasm of conjunctiva"
D311,"Benign neoplasm of cornea"
D312,"Benign neoplasm of retina"
D313,"Benign neoplasm of choroid"
D314,"Benign neoplasm of ciliary body"
D315,"Benign neoplasm of lacrimal gland and duct"
D316,"Benign neoplasm of unspecified site of orbit"
D319,"Benign neoplasm of unspecified part of eye"
D32,"Benign neoplasm of meninges"
D33,"Benign neoplasm of brain and other parts of central nervous system"
D34,"Benign neoplasm of thyroid gland"
D35,"Benign neoplasm of other and unspecified endocrine glands"
D350,"Benign neoplasm of adrenal gland"
D351,"Benign neoplasm of parathyroid gland"
D352,"Benign neoplasm of pituitary gland"
D353,"Benign neoplasm of craniopharyngeal duct"
D354,"Benign neoplasm of pineal gland"
D355,"Benign neoplasm of carotid body"
D356,"Benign neoplasm of aortic body and other paraganglia"
D357,"Benign neoplasm of other specified endocrine glands"
D359,"Benign neoplasm of endocrine gland, unspecified"
D36,"Benign neoplasm of other and unspecified sites"
D361,"Benign neoplasm of peripheral nerves and autonomic nervous system"
D367,"Benign neoplasm of other specified sites"
D369,"Benign neoplasm, unspecified site"
D3A,"Benign neuroendocrine tumors"
D3A0,"Benign carcinoid tumors"
D3A01,"Benign carcinoid tumors of the small intestine"
D3A02,"Benign carcinoid tumors of the appendix, large intestine, and rectum"
D3A09,"Benign carcinoid tumors of other sites"
D3A8,"Other benign neuroendocrine tumors"
D37,"Neoplasm of uncertain behavior of oral cavity and digestive organs"
D370,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx"
D3703,"Neoplasm of uncertain behavior of the major salivary glands"
D3704,"Neoplasm of uncertain behavior of the minor salivary glands"
D3705,"Neoplasm of uncertain behavior of pharynx"
D3709,"Neoplasm of uncertain behavior of other specified sites of the oral cavity"
D371,"Neoplasm of uncertain behavior of stomach"
D372,"Neoplasm of uncertain behavior of small intestine"
D373,"Neoplasm of uncertain behavior of appendix"
D374,"Neoplasm of uncertain behavior of colon"
D375,"Neoplasm of uncertain behavior of rectum"
D376,"Neoplasm of uncertain behavior of liver, gallbladder and bile ducts"
D378,"Neoplasm of uncertain behavior of other specified digestive organs"
D379,"Neoplasm of uncertain behavior of digestive organ, unspecified"
D38,"Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs"
D39,"Neoplasm of uncertain behavior of female genital organs"
D391,"Neoplasm of uncertain behavior of ovary"
D392,"Neoplasm of uncertain behavior of placenta"
D398,"Neoplasm of uncertain behavior of other specified female genital organs"
D399,"Neoplasm of uncertain behavior of female genital organ, unspecified"
D40,"Neoplasm of uncertain behavior of male genital organs"
D401,"Neoplasm of uncertain behavior of testis"
D408,"Neoplasm of uncertain behavior of other specified male genital organs"
D409,"Neoplasm of uncertain behavior of male genital organ, unspecified"
D41,"Neoplasm of uncertain behavior of urinary organs"
D410,"Neoplasm of uncertain behavior of kidney"
D411,"Neoplasm of uncertain behavior of renal pelvis"
D412,"Neoplasm of uncertain behavior of ureter"
D413,"Neoplasm of uncertain behavior of urethra"
D414,"Neoplasm of uncertain behavior of bladder"
D418,"Neoplasm of uncertain behavior of other specified urinary organs"
D419,"Neoplasm of uncertain behavior of unspecified urinary organ"
D42,"Neoplasm of uncertain behavior of meninges"
D43,"Neoplasm of uncertain behavior of brain and central nervous system"
D44,"Neoplasm of uncertain behavior of endocrine glands"
D441,"Neoplasm of uncertain behavior of adrenal gland"
D442,"Neoplasm of uncertain behavior of parathyroid gland"
D443,"Neoplasm of uncertain behavior of pituitary gland"
D444,"Neoplasm of uncertain behavior of craniopharyngeal duct"
D445,"Neoplasm of uncertain behavior of pineal gland"
D446,"Neoplasm of uncertain behavior of carotid body"
D447,"Neoplasm of uncertain behavior of aortic body and other paraganglia"
D449,"Neoplasm of uncertain behavior of unspecified endocrine gland"
D45,"Polycythemia vera"
D46,"Myelodysplastic syndromes"
D462,"Refractory anemia with excess of blasts [RAEB]"
